firstname,alt_firstname,lastname,teams,statut,status,webpage,HAL,start_date,end_date,member,photo,perm,fid,researcheridId_s,idrefId_s,orcidId_s,viafId_s,isniId_s,google scholarId_s,arxivId_s
Saif,,Aati,ACTE,Doctorant,PhD student,/saif-aati,,2020-07-01,2023-03-31,false,,false,0,,,,,,,
Nathalie,,Abadie,STRUDEL,CR IGN,Researcher,/nathalie-abadie,nathalie-abadie,2005-10-01,,true,/nathalie-abadie/img/abadie.png,true,1,,https://www.idref.fr/167625594,https://orcid.org/0000-0001-8741-2398,,,https://scholar.google.com/citations?hl=en&user=n208lNQAAAAJ,
Mohamed,,Ali-Chebbi,ACTE,Doctorant,PhD student,/mohamed-alichebbi,,2020-07-01,,true,,false,2,,,,,,,
Guillaume,,Astruc,STRUDEL,Doctorant,PhD student,,,2023-10-02,,true,,false,3,,,,,,,
Nicolas,,Audebert,STRUDEL,CPJ,Researcher,https://nicolas.audebert.at,nicolas-audebert,2023-12-01,,true,,true,4,,,https://orcid.org/0000-0001-6486-3102,,,https://scholar.google.com/citations?user=_z5vXUcAAAAJ,
Luc,,Baudoux,STRUDEL,Doctorant,PhD student,/luc-baudoux,luc-baudoux,2019-10-01,2023-01-30,false,,false,5,,,https://orcid.org/0000-0003-1729-6162,,,,
Yanis,,Benidir,STRUDEL,Doctorant,PhD student,,,2023-09-01,,true,,false,6,,,,,,,
Wissal,,Benjira,MEIG,Doctorante,PhD student,,,2023,,true,,false,7,,,,,,,
Justin,,Berli,MEIG,Doctorant,PhD student,,,,,true,,false,8,,,,,,,
Charly,,Bernard,STRUDEL,Doctorant,PhD student,/charly-bernard,charly-bernard,2019-10-01,,true,/lastig_data/img/charly.png,true,9,,,https://orcid.org/0009-0003-8170-3671,,,,
Pierre,,Biasutti,GEOVIS,Doctorant,PhD student,https://www.labri.fr/perso/pbiasutt/,pierre-biasutti,2016-09-01,2019-10-04,false,/geovis/faces/pierre-biasutti.jpg,false,10,,,,,,,
Camille,,Billouard,ACTE,Doctorant,PhD student,,,2023-10-09,,true,,false,11,,,,,,,
Sébastien,,Biniek,MEIG,Doctorant,PhD student,/sebastien-biniek,,2016-12-01,2020-09-01,false,/sebastien-biniek/img/biniek.jpg,false,12,,,,,,,
Emile,,Blettery,ACTE,Post-doc,Post-doc,/emile-blettery,emile-blettery,2023-08-01,2025-03-01,true,,false,13,,,,,,,
Amine,,Bourki,STRUDEL,Post-doc,Post-doc,https://github.com/abourki,,2018-10-01,2020-03-01,false,,false,14,,,,,,,
Mohamed,,Boussaha,ACTE,Doctorant,PhD student,https://scholar.google.com/citations?user=D_ktS5EAAAAJ&hl=fr,mohamed-boussaha,2016-09,2020-01-01,false,,false,15,,,https://orcid.org/0000-0003-2145-790X,,,,
Amine,,Boussik,ACTE,Post-doc,Post-doc,,,2024,,true,,false,16,,,,,,,
Mickaël,,Brasebin,STRUDEL,Chargé de Recherches,Researcher,https://mbrasebin.github.io,,2007-10-01,2018-12-18,false,https://mbrasebin.github.io/img/brasebin.jpg,true,17,,,,,,,
Mathieu,,Brédif,GEOVIS,CR IGN,Researcher,/mathieu-bredif,mathieu-bredif,2005-09-01,,true,/geovis/faces/bredif.jpg,true,18,"http://www.researcherid.com/rid/T-3029-2018,http://www.researcherid.com/rid/T-3029-2018",https://www.idref.fr/175818991,https://orcid.org/0000-0003-0228-1232,,,https://scholar.google.fr/citations?user=KGayfBgAAAAJ,
Raphaël,,Bres,MEIG,Doctorant,PhD student,,,2021-09-01,,true,,false,19,,,,,,,
Bénédicte,,Bucher,MEIG,Directrice de recherche IGN,Senior researcher,/benedicte-bucher,benedicte-bucher,1998,,true,/benedicte-bucher/img/Bucher.jpg,true,20,,https://www.idref.fr/069878315,https://orcid.org/0000-0002-5797-5170,,,,
Mattia,,Bunel,MEIG,Doctorant,PhD student,/mattia-bunel,mattia-bunel,2017-10-01,2021-02-19,false,,false,21,,https://www.idref.fr/253126045,https://orcid.org/0000-0001-7751-3507,,,,
Laurent,,Caraffa,ACTE,CR MTE,Researcher,/laurent-caraffa,laurent-caraffa,2014,,true,/laurent-caraffa/img/laurent.jpg,true,22,,,https://orcid.org/0000-0002-8676-8058,,,,
Mohamed,,Chachoua,MEIG,Enseignant-Chercheur,Lecturer,/mohamed-chachoua,,2019-01-01,,true,,true,23,,,,,,,
Adnane,,Chakir,ACTE,Doctorant,PhD student,/adnane-chakir,,2020-10-01,,true,,false,24,,,,,,,
Paul,,Chapron,STRUDEL,CR MTE,Researcher,/paul-chapron,paul-chapron,2017-12-01,,true,/paul-chapron/img/photo_paulchapron.jpg,true,25,,,https://orcid.org/0000-0002-3054-0759,,,,
Yizi,,Chen,STRUDEL,Doctorant,PhD student,/yizi-chen,yizi-chen,2019-12-19,2023-03-31,false,/lastig_data/img/yizi.jpg,false,26,,,https://orcid.org/0000-0003-1637-0092,,,,
Gérald,,Choqueux,GEOVIS,Ingénieur,Research engineer,/gchoqueux,gerald-choqueux,2022-11-01,,true,/gchoqueux/img/gchoqueux_256.png,true,27,,,,,,,
